"Result Id","Business Name","Address","Email","Contact name","Job title","Phone","Industry","Search location","Website","Search Id"
2179,"Sugar Shack Donuts & Coffee","1932 9th St NWWashington, DC 20001 ",,,,"(202) 629-1417","Coffee Shops","Washington DC","https://www.yelp.com/search?find_desc=Coffee+Shops&find_loc=Washington+DC&start=0",54
2180,"Blue Bottle Coffee","1046 Potomac St NWWashington, DC 20007 ",,,,"(510) 653-3394","Coffee Shops","Washington DC","https://www.yelp.com/search?find_desc=Coffee+Shops&find_loc=Washington+DC&start=0",54
2181,"A Baked Joint","440 K St NWWashington, DC 20001 ",,,,"(202) 408-6985","Coffee Shops","Washington DC","https://www.yelp.com/search?find_desc=Coffee+Shops&find_loc=Washington+DC&start=0",54
2182,"La Colombe Coffee","924 Rear N St NWWashington, DC 20001 ",,,,"(202) 289-4850","Coffee Shops","Washington DC","https://www.yelp.com/search?find_desc=Coffee+Shops&find_loc=Washington+DC&start=0",54
2183,"Bakers & Baristas","501 7th St NWWashington, DC 20004 ",,,,"(202) 347-7895","Coffee Shops","Washington DC","https://www.yelp.com/search?find_desc=Coffee+Shops&find_loc=Washington+DC&start=0",54
2184,"Swing’s Coffee","640 14th St NWWashington, DC 20005 ",,,,"(202) 652-0188","Coffee Shops","Washington DC","https://www.yelp.com/search?find_desc=Coffee+Shops&find_loc=Washington+DC&start=0",54
2185,"The Coffee Bar","1201 S St NWWashington, DC 20009 ",,,,"(202) 733-1049","Coffee Shops","Washington DC","https://www.yelp.com/search?find_desc=Coffee+Shops&find_loc=Washington+DC&start=0",54
2186,"Bourbon Coffee","2101 L St NWWashington, DC 20037 ",,,,"(202) 525-1886","Coffee Shops","Washington DC","https://www.yelp.com/search?find_desc=Coffee+Shops&find_loc=Washington+DC&start=0",54
2187,"The Wydown Coffee Bar","1924 14th St NWWashington, DC 20009 ",,,,"(202) 507-8411","Coffee Shops","Washington DC","https://www.yelp.com/search?find_desc=Coffee+Shops&find_loc=Washington+DC&start=0",54
2188,"Emissary","2032 P St NWWashington, DC 20036 ",,,,"(202) 642-2603","Coffee Shops","Washington DC","https://www.yelp.com/search?find_desc=Coffee+Shops&find_loc=Washington+DC&start=0",54
2189,"Filter Coffeehouse & Espresso Bar","1726 20th St NWWashington, DC 20009 ",,,,"(202) 234-5837","Coffee Shops","Washington DC","https://www.yelp.com/search?find_desc=Coffee+Shops&find_loc=Washington+DC&start=0",54
